,latitude,longtitude,compass_direction,x,y,z
23,28.54647,-81.381927,356.59,837826.6633646965,-5528076.4252262,3041651.2816254087
24,28.546568,-81.381929,356.3,837825.6908158113,-5528071.310695137,3041660.844946123
25,28.546664,-81.381932,356.02,837824.6376917936,-5528066.315746166,3041670.2130883997
26,28.546758,-81.381934,355.74,837823.696958784,-5528061.411134644,3041679.3860527705
27,28.546851,-81.381937,355.46,837822.6676960781,-5528056.573619029,3041688.4614243577
28,28.546963,-81.381939,355.18,837821.5837688746,-5528050.724189244,3041699.3908934826
29,28.547054,-81.381942,354.9,837820.5704123876,-5528045.991618194,3041708.2710785875
30,28.547147,-81.381944,354.62,837819.6376266625,-5528041.139433244,3041717.346424668
31,28.547243,-81.381946,354.34,837818.6809737907,-5528036.129767463,3041726.714515443
32,28.547334,-81.381949,354.05,837817.6676121468,-5528031.397153263,3041735.59467694
33,28.547477,-81.381952,353.77,837816.2405815346,-5528023.9350923365,3041749.549200932
34,28.547568,-81.381952,353.49,837815.516662003,-5528019.158574165,3041758.4293426974
35,28.54767,-81.381952,353.21,837814.7052332031,-5528013.804658103,3041768.382899074
36,28.547776,-81.381952,352.93,837813.8619808524,-5528008.240765984,3041778.726780779
37,28.547883,-81.381951,352.65,837813.1072522291,-5528002.609742532,3041789.1682357155
38,28.547989,-81.381951,352.37,837812.2639940192,-5527997.045812408,3041799.512096501
39,28.548094,-81.381951,352.09,837811.428688248,-5527991.534353537,3041809.758363429
40,28.548198,-81.381951,351.8,837810.6013349966,-5527986.0753664505,3041819.907036793
41,28.548297,-81.38195,351.52,837809.9102372462,-5527980.864191203,3041829.5677838577
42,28.548392,-81.38195,351.24,837809.1544769724,-5527975.877584719,3041838.8381891684
43,28.548484,-81.38195,350.96,837808.4225806171,-5527971.048435533,3041847.815836868
44,28.548602,-81.38195,350.68,837807.4838408257,-5527964.854505932,3041859.3306343923
45,28.548713,-81.381949,350.4,837806.6972668299,-5527959.013368946,3041870.162338932
46,28.548812,-81.381949,350.12,837805.9096744191,-5527953.816730413,3041879.823038753
47,28.54891,-81.381949,349.84,837805.1300350238,-5527948.672566924,3041889.386146804
48,28.549002,-81.381949,349.55,837804.398126422,-5527943.843337502,3041898.3637503446
49,28.549097,-81.381948,349.27,837803.7388297035,-5527938.841995819,3041907.634093596
50,28.549189,-81.381948,348.99,837803.0069166269,-5527934.01273744,3041916.611681195
51,28.549298,-81.381962,348.71,837800.7890282284,-5527928.495811171,3041927.2481607003
52,28.549408,-81.381961,348.43,837800.0103907348,-5527922.707036412,3041937.982211425
53,28.549532,-81.381966,348.15,837798.5414886296,-5527916.271079223,3041950.0824006163
54,28.549627,-81.38197,347.87,837797.3997787943,-5527911.342764268,3041959.3526972127
55,28.549726,-81.381974,347.59,837796.226244541,-5527906.2044623,3041969.013313188
56,28.549833,-81.381978,347.3,837794.9890627118,-5527900.646198907,3041979.454574787
57,28.550055,-81.381986,347.02,837792.4510464392,-5527889.10966606,3042001.1177192186
58,28.550275,-81.381995,346.74,837789.8324528073,-5527877.6926595215,3042022.585655133
59,28.550492,-81.382004,346.46,837787.2377180433,-5527866.433053458,3042043.7608025298
60,28.550605,-81.382008,346.18,837785.9527856486,-5527860.559684552,3042054.787474911
61,28.550719,-81.382013,345.9,837784.5634156355,-5527854.648421492,3042065.9117164733
62,28.550833,-81.382017,345.62,837783.2705225042,-5527848.722514271,3042077.0359459925
63,28.550934,-81.382021,345.34,837782.0810544835,-5527843.479019699,3042086.8916129614
64,28.55108,-81.381973,345.05,837785.5504691734,-5527835.112877238,3042101.1384019703
65,28.551175,-81.381917,344.77,837790.1974578548,-5527829.30698484,3042110.4085622923
66,28.551272,-81.381856,344.49,837795.3109148751,-5527823.322971009,3042119.873875255
67,28.551369,-81.38179,344.21,837800.9067507643,-5527817.265824812,3042129.3391794986
68,28.551465,-81.381715,343.93,837807.3788343352,-5527811.1295506265,3042138.7068947013
69,28.551561,-81.381642,343.65,837813.6579441298,-5527805.022498667,3042148.074601364
70,28.551655,-81.381569,343.37,837819.9529505018,-5527799.020416398,3042157.2471391954
71,28.55175,-81.381496,343.09,837826.2399840279,-5527792.965815919,3042166.517248897
72,28.551842,-81.381424,342.8,837832.4543933391,-5527787.083305369,3042175.4946103217
73,28.551941,-81.381399,342.52,837834.0786240271,-5527781.520578879,3042185.1550230924
74,28.552031,-81.381395,342.24,837833.7484231532,-5527776.737388569,3042193.9372086385
75,28.552131,-81.381411,341.96,837831.4090947766,-5527771.721674516,3042203.6951837754
76,28.552229,-81.381426,341.68,837829.1821581292,-5527766.796314002,3042213.257990419
77,28.552348,-81.381476,341.4,837823.4114106216,-5527761.280292558,3042224.869957949
78,28.552431,-81.381523,341.12,837818.216547541,-5527757.610281453,3042232.969053584
79,28.552532,-81.381581,340.84,837811.8172147359,-5527753.156145966,3042242.824570985
80,28.552646,-81.38163,340.55,837806.1827480404,-5527747.887912605,3042253.948608974
81,28.552761,-81.381678,340.27,837800.6368082142,-5527742.552531393,3042265.17021404
82,28.552859,-81.381719,339.99,837795.9014795682,-5527738.007235518,3042274.732963468
83,28.552953,-81.381758,339.71,837791.3909365993,-5527733.642668419,3042283.905388229
84,28.553074,-81.381809,339.43,837785.5078417653,-5527728.036088477,3042295.7124335803
85,28.553205,-81.38182,339.15,837783.4042646005,-5527721.319608401,3042308.4952525077
86,28.553333,-81.381803,338.87,837784.0259068627,-5527714.351177915,3042320.985319761
87,28.553429,-81.381784,338.59,837785.0951126732,-5527709.033448881,3042330.352860237
88,28.553531,-81.38176,338.3,837786.5989546325,-5527703.32759779,3042340.3058626344
89,28.553638,-81.381734,338.02,837788.2559577535,-5527697.329987196,3042350.746746944
90,28.55375,-81.381708,337.74,837789.8731678211,-5527691.069858664,3042361.6755116777
91,28.553863,-81.381681,337.46,837791.5788884531,-5527684.742586611,3042372.701842887
92,28.553976,-81.381676,337.18,837791.1621238437,-5527678.736981797,3042383.7281622617
93,28.554098,-81.381683,336.9,837789.5160280981,-5527672.4343198165,3042395.63267078
94,28.554217,-81.381651,336.62,837791.656364328,-5527665.7188683925,3042407.2444321923
95,28.554334,-81.38162,336.34,837793.716128261,-5527659.123015989,3042418.6610251567
96,28.554454,-81.381588,336.05,837795.8484857592,-5527652.355015141,3042430.370338094
97,28.554577,-81.381555,335.77,837798.0534359271,-5527645.414863959,3042442.372370005
98,28.554699,-81.381522,335.49,837800.266331904,-5527638.527187832,3042454.2768105706
99,28.554822,-81.38149,335.21,837802.3747836086,-5527631.601606901,3042466.2788145533
100,28.554946,-81.381457,334.93,837804.5717417201,-5527624.608875776,3042478.378381612
101,28.55507,-81.381423,334.65,837806.8651632571,-5527617.601495576,3042490.477934419
102,28.555193,-81.381391,334.37,837808.9735804707,-5527610.675835814,3042502.479896109
103,28.555315,-81.381358,334.09,837811.1864189242,-5527603.788029634,3042514.384267024
104,28.555435,-81.381326,333.8,837813.3186866649,-5527597.019825177,3042526.0934708603
105,28.555552,-81.381295,333.52,837815.3783422161,-5527590.423726381,3042537.509931751
106,28.555667,-81.381264,333.24,837817.4539031174,-5527583.932609585,3042548.7312271
107,28.555779,-81.381234,332.96,837819.4568532143,-5527577.613601652,3042559.659781225
108,28.555891,-81.381204,332.68,837821.4597937237,-5527571.294572016,3042570.588323722
109,28.556004,-81.381174,332.4,837823.4547666055,-5527564.923017293,3042581.6144307097
110,28.556121,-81.381143,332.12,837825.5143715037,-5527558.326803386,3042593.0308298995
111,28.556236,-81.381112,331.84,837827.5898823212,-5527551.835573357,3042604.2520646024
112,28.556348,-81.381082,331.55,837829.5927837477,-5527545.516455176,3042615.1805596617
113,28.556453,-81.381054,331.27,837831.4584359056,-5527539.594090035,3042625.426013221
114,28.556549,-81.381028,330.99,837833.202757138,-5527534.173490328,3042634.793276104
115,28.556639,-81.381004,330.71,837834.8018742512,-5527529.09714722,3042643.5750772995
116,28.556748,-81.380975,330.43,837836.7321429251,-5527522.95008779,3042654.2108042506
117,28.556838,-81.380951,330.15,837838.3312463966,-5527517.87371371,3042662.992588846
118,28.556934,-81.380924,329.87,837840.1720125698,-5527512.438426957,3042672.359817473
119,28.557029,-81.380898,329.59,837841.924256808,-5527507.070252351,3042681.629462393
120,28.557123,-81.380873,329.3,837843.5879795396,-5527501.769190454,3042690.801523871
121,28.557453,-81.380782,329.02,837849.7406521308,-5527483.11166642,3042723.00124932
122,28.557736,-81.38057,328.74,837867.9404796584,-5527465.152310519,3042750.61487287
123,28.557915,-81.380222,328.46,837900.0881544211,-5527450.6645805705,3042768.0806953767
124,28.543893,-81.38168,96.28,837870.9942401809,-5528208.067774562,3041399.802131119
125,28.543894,-81.381577,96.0,837880.9242838003,-5528206.509051004,3041399.899718457
126,28.543894,-81.381452,95.72,837892.9849574701,-5528204.681065239,3041399.899718457
127,28.543895,-81.381317,95.44,837906.0025257393,-5528202.654328046,3041399.9973057937
128,28.543896,-81.381185,95.16,837918.7306331989,-5528200.671433529,3041400.09489313
129,28.543896,-81.381063,94.88,837930.501838318,-5528198.887239229,3041400.09489313
130,28.543838,-81.380914,94.6,837945.3395413524,-5528199.752157087,3041394.434826114
131,28.543766,-81.380843,94.31,837952.762772385,-5528202.492545567,3041387.4085316905
132,28.543697,-81.380773,94.03,837960.0656589997,-5528205.090092764,3041380.6749950275
133,28.543628,-81.380706,93.75,837967.079095719,-5528207.731498215,3041373.941453953
134,28.543581,-81.380623,93.47,837975.4612879753,-5528208.98426793,3041369.3548364933
135,28.543553,-81.38051,93.19,837986.5868952165,-5528208.801089279,3041366.622382566
136,28.543536,-81.380399,92.91,837997.4320227128,-5528208.069833564,3041364.9633923266
137,28.543537,-81.380295,92.63,838007.4585506571,-5528206.4962575,3041365.0609799954
138,28.543537,-81.380183,92.35,838018.2649144264,-5528204.858136136,3041365.0609799954
139,28.543538,-81.380072,92.06,838028.9668337805,-5528203.182137773,3041365.1585676637
140,28.543541,-81.379961,91.78,838039.6528378521,-5528201.401154236,3041365.4513306604
141,28.543543,-81.379851,91.5,838050.2503089483,-5528199.687258985,3041365.6465059877
142,28.543546,-81.379747,91.22,838060.260908846,-5528198.0086226985,3041365.9392689704
143,28.543548,-81.37962,90.94,838072.4986218571,-5528196.046027051,3041366.134444288
144,28.543551,-81.379512,90.66,838082.8951552773,-5528194.308841243,3041366.4272072576
145,28.543553,-81.379407,90.38,838093.0101861153,-5528192.668000496,3041366.622382566
146,28.543556,-81.379299,90.1,838103.4067125788,-5528190.930776088,3041366.915145521
147,28.543558,-81.379186,89.81,838114.293617663,-5528189.172875016,3041367.1103208205
148,28.543561,-81.379074,89.53,838125.0760772151,-5528187.377098401,3041367.403083762
149,28.543561,-81.378956,89.25,838136.4613138627,-5528185.650977707,3041367.403083762
150,28.54356,-81.37883,88.97,838148.6263840452,-5528183.860288099,3041367.305496116
151,28.54356,-81.378725,88.69,838158.7573086886,-5528182.324291237,3041367.305496116
152,28.54356,-81.37862,88.41,838168.8882305187,-5528180.788275806,3041367.305496116
153,28.54356,-81.378512,88.13,838179.3086043207,-5528179.208354852,3041367.305496116
154,28.54356,-81.37831,87.85,838198.7985547347,-5528176.253264787,3041367.305496116
155,28.543562,-81.378187,87.56,838210.6502775103,-5528174.348880569,3041367.500671408
156,28.543564,-81.37806,87.28,838222.8879352118,-5528172.385951954,3041367.6958466955
157,28.543565,-81.377957,87.0,838232.8179114539,-5528170.826596856,3041367.793434338
158,28.543567,-81.377846,86.72,838243.5118049195,-5528169.097701121,3041367.9886096204
159,28.543568,-81.377741,86.44,838253.6347445028,-5528167.509048404,3041368.0861972603
160,28.54357,-81.377633,86.16,838264.0391770602,-5528165.8240038,3041368.281372537
161,28.543572,-81.377505,85.88,838276.3732995084,-5528163.846326289,3041368.4765478102
162,28.543578,-81.377327,85.6,838293.4998147377,-5528160.927146555,3041369.062073607
163,28.543582,-81.377218,85.31,838303.9848017249,-5528159.122431894,3041369.45242412
164,28.543587,-81.377101,85.03,838315.2337026433,-5528157.148164572,3041369.9403622407
165,28.543592,-81.376975,84.75,838327.350959561,-5528155.042190238,3041370.428300338
166,28.543596,-81.376858,84.47,838338.6078098456,-5528153.12035718,3041370.818650799
167,28.543601,-81.376733,84.19,838350.6285723443,-5528151.028963515,3041371.306588854
168,28.543604,-81.376535,83.91,838369.7086085014,-5528147.974353139,3041371.599351676
169,28.543605,-81.376418,83.63,838380.9893204166,-5528146.209879292,3041371.6969392817
170,28.543607,-81.376286,83.35,838393.7093340742,-5528144.173409823,3041371.8921144907
171,28.543609,-81.376159,83.06,838405.9469213836,-5528142.210075821,3041372.0872896947
172,28.543611,-81.376034,82.78,838417.9915356097,-5528140.275981034,3041372.2824648954
173,28.543613,-81.375918,82.5,838429.1677874365,-5528138.473560212,3041372.477640093
174,28.543714,-81.375917,82.22,838428.4603416721,-5528133.158257573,3041382.3339827307
175,28.543816,-81.375915,81.94,838427.8414174054,-5528127.775822328,3041392.2879033275
176,28.543908,-81.375913,81.66,838427.3020878101,-5528122.91819255,3041401.265941088
177,28.544009,-81.375912,81.38,838426.5946337018,-5528117.602839839,3041411.1222561225
178,28.544111,-81.37591,81.1,838425.9757007401,-5528112.220354058,3041421.0761488425
179,28.544216,-81.375908,80.81,838425.3328851926,-5528106.680402406,3041431.322793044
180,28.544325,-81.375907,80.53,838424.5617433547,-5528100.945133576,3041441.9597747917
181,28.544434,-81.375905,80.25,838423.8870817447,-5528095.195211512,3041452.5967455306
182,28.544541,-81.375903,79.97,838423.228336581,-5528089.550236198,3041463.038531789
183,28.544646,-81.375901,79.69,838422.5855080362,-5528084.010208712,3041473.285134161
184,28.544749,-81.375899,79.41,838421.9585962836,-5528078.575130116,3041483.336553229
185,28.544849,-81.375898,79.13,838421.2590784355,-5528073.312118528,3041493.0952031147
186,28.544947,-81.3759,78.85,838420.2860289763,-5528068.197957786,3041502.658671014
187,28.545038,-81.375904,78.56,838419.1757320833,-5528063.480436512,3041511.539026097
188,28.545148,-81.375909,78.28,838417.817709263,-5528057.780331539,3041522.2735110084
189,28.545242,-81.375913,78.0,838416.6835288483,-5528052.905325592,3041531.446607413
190,28.545357,-81.375917,77.72,838415.3821840766,-5528046.928125758,3041542.6690014545
191,28.545452,-81.375921,77.44,838414.240039935,-5528042.000601567,3041551.939665552
192,28.545556,-81.375926,77.16,838412.9297701422,-5528036.615329622,3041562.0885935025
193,28.545675,-81.37593,76.88,838411.5965778397,-5528030.428127473,3041573.701296844
194,28.545676,-81.375813,76.6,838422.8770486381,-5528028.663564686,3041573.798882531
195,28.545677,-81.375692,76.31,838434.5434448048,-5528026.840445119,3041573.896468217
196,28.545678,-81.375583,76.03,838445.0520501402,-5528025.192904573,3041573.9940539016
197,28.545679,-81.375478,75.75,838455.1747233918,-5528023.603879274,3041574.0916395853
198,28.54568,-81.375368,75.47,838465.7798045583,-5528021.941665516,3041574.189225269
199,28.545681,-81.375231,75.19,838478.9899005232,-5528019.88430811,3041574.2868109504
200,28.545682,-81.375086,74.91,838492.9718483331,-5528017.709843485,3041574.384396632
201,28.545683,-81.374949,74.63,838506.1819339205,-5528015.652421095,3041574.481982312
202,28.545684,-81.374818,74.35,838518.8131222279,-5528013.682776652,3041574.579567992
203,28.545685,-81.374672,74.06,838532.8915359656,-5528011.493576137,3041574.6771536698
204,28.545686,-81.374516,73.78,838547.9347636128,-5528009.157985627,3041574.774739348
205,28.545687,-81.374354,73.5,838563.5568762738,-5528006.734540039,3041574.872325024
206,28.545688,-81.37423,73.22,838575.5126704501,-5528004.867215858,3041574.9699107
207,28.545689,-81.374103,72.94,838587.7579060296,-5528002.955957473,3041575.0674963747
208,28.54569,-81.373974,72.66,838600.1961008948,-5528001.015399296,3041575.1650820486
209,28.545691,-81.373842,72.38,838612.9237366267,-5527999.030903468,3041575.2626677216
210,28.545692,-81.373708,72.1,838625.8443311634,-5527997.017104775,3041575.360253393
211,28.545693,-81.373572,71.81,838638.9578842943,-5527994.97400186,3041575.4578390643
212,28.545694,-81.373433,71.53,838652.3608774816,-5527992.886956111,3041575.5554247345
213,28.545695,-81.373292,71.25,838665.9568287594,-5527990.770602899,3041575.653010404
214,28.545696,-81.373153,70.97,838679.3598114934,-5527988.6834916845,3041575.750596072
215,28.545697,-81.373012,70.69,838692.95575217,-5527986.567072068,3041575.8481817394
216,28.545698,-81.372872,70.41,838706.455205979,-5527984.4652572,3041575.945767406
217,28.5457,-81.372732,70.13,838719.9466913835,-5527982.310924506,3041576.140938736
218,28.5457,-81.372627,69.85,838730.0772466689,-5527980.773880643,3041576.140938736
219,28.545703,-81.372513,69.56,838741.0522420497,-5527978.947614644,3041576.433695724
220,28.545706,-81.372405,69.28,838751.4483450666,-5527977.209160717,3041576.726452703
221,28.54571,-81.372264,69.0,838765.0203661035,-5527974.935109353,3041577.1167953303
222,28.545714,-81.372125,68.72,838778.3994183756,-5527972.690303533,3041577.5071379417
223,28.547482,-81.38179,94.36,837831.8309211454,-5528021.303755049,3041750.037121008
224,28.547484,-81.381684,94.08,837842.0421192443,-5528019.648737427,3041750.2322890325
225,28.547488,-81.38155,93.8,837854.9389021728,-5528017.479270235,3041750.6226250697
226,28.547492,-81.381415,93.52,837867.9321616001,-5528015.295149374,3041751.0129610915
227,28.547494,-81.381312,93.24,837877.8539017743,-5528013.683936223,3041751.208129097
228,28.547497,-81.381209,92.96,837887.7676830272,-5528012.020216195,3041751.5008810987
229,28.547501,-81.381075,92.68,837900.6644463604,-5528009.850642238,3041751.8912170874
230,28.547505,-81.380952,92.39,837912.4999028225,-5528007.84190592,3041752.2815530617
231,28.547509,-81.380836,92.11,837923.6599811905,-5528005.935515964,3041752.671889021
232,28.54751,-81.380711,91.83,837935.7122609835,-5528004.054947949,3041752.7694730083
233,28.54751,-81.380608,91.55,837945.6498924283,-5528002.548591095,3041752.7694730083
234,28.54751,-81.380502,91.27,837955.8769666194,-5528000.998341117,3041752.7694730083
235,28.54751,-81.380395,90.99,837966.2005197364,-5527999.433446951,3041752.7694730083
236,28.54751,-81.380285,90.71,837976.813515219,-5527997.824657149,3041752.7694730083
237,28.54751,-81.380175,90.43,837987.4265076146,-5527996.215846972,3041752.7694730083
238,28.54751,-81.380058,90.14,837998.7148688618,-5527994.504635603,3041752.7694730083
239,28.547511,-81.379945,89.86,838009.6093429171,-5527992.799416392,3041752.8670569947
240,28.547511,-81.37981,89.58,838022.6343667668,-5527990.824887423,3041752.8670569947
241,28.547511,-81.379673,89.3,838035.8523491774,-5527988.821074798,3041752.8670569947
242,28.547511,-81.379545,89.02,838048.2019926468,-5527986.94887094,3041752.8670569947
243,28.547511,-81.379422,88.74,838060.0692242262,-5527985.14977405,3041752.8670569947
244,28.547512,-81.379318,88.46,838070.0953456303,-5527983.576077734,3041752.9646409806
245,28.547512,-81.379126,88.18,838088.6197916892,-5527980.76764685,3041752.9646409806
246,28.547513,-81.378979,87.89,838102.7946064613,-5527978.564911218,3041753.062224965
247,28.547515,-81.378823,87.61,838117.8297899094,-5527976.177999299,3041753.257392932
248,28.547516,-81.378707,87.33,838129.0136707523,-5527974.428661006,3041753.354976914
249,28.547517,-81.378587,87.05,838140.5834732439,-5527972.620786848,3041753.4525608947
250,28.547518,-81.378467,86.77,838152.153271837,-5527970.812888472,3041753.550144875
251,28.547519,-81.378348,86.49,838163.6265852739,-5527969.019594595,3041753.6477288543
252,28.54752,-81.378231,86.21,838174.9069324188,-5527967.255534731,3041753.7453128323
253,28.547521,-81.378117,85.93,838185.8978322558,-5527965.535339166,3041753.8428968093
254,28.547522,-81.378004,85.64,838196.792247396,-5527963.82975104,3041753.940480786
255,28.547523,-81.377892,85.36,838207.5901779287,-5527962.138770926,3041754.0380647616
256,28.547524,-81.37778,85.08,838218.3881050533,-5527960.447769718,3041754.135648736
257,28.547526,-81.377599,84.8,838235.8352636168,-5527957.694794512,3041754.3308166824
258,28.547525,-81.377497,84.52,838245.6842899242,-5527956.255016876,3041754.2332327096
259,28.547527,-81.377358,84.24,838259.0792329398,-5527954.116433,3041754.428400654
260,28.547528,-81.377232,83.96,838271.2278774563,-5527952.220503075,3041754.525984625
261,28.547529,-81.377117,83.68,838282.3152273992,-5527950.485485201,3041754.623568595
262,28.547531,-81.377011,83.39,838292.5262858958,-5527948.829635302,3041754.818736532
263,28.547532,-81.376894,83.11,838303.8065905838,-5527947.065312386,3041754.916320499
264,28.547534,-81.376752,82.83,838317.4909527143,-5527944.882693456,3041755.1114884303
265,28.547539,-81.376583,82.55,838333.7564104616,-5527942.147520298,3041755.599408243
266,28.547544,-81.376452,82.27,838346.355590919,-5527939.968312815,3041756.087328032
267,28.547547,-81.376347,81.99,838356.4621877073,-5527938.274488181,3041756.380079895
268,28.54755,-81.376239,81.71,838366.8582231811,-5527936.536748275,3041756.6728317486
269,28.547555,-81.376113,81.43,838378.9749859404,-5527934.430627644,3041757.1607514867
270,28.547558,-81.375997,81.14,838390.1428585228,-5527932.575784067,3041757.453503318
271,28.547562,-81.375884,80.86,838401.0133245226,-5527930.712328062,3041757.843839081
272,28.547562,-81.37577,80.58,838412.0121103224,-5527929.044171293,3041757.843839081
273,28.547563,-81.375649,80.3,838423.6782955885,-5527927.2210715,3041757.94142302
274,28.547564,-81.375521,80.02,838436.0198403784,-5527925.295512844,3041758.0390069573
275,28.547564,-81.375394,79.74,838448.272861465,-5527923.437048688,3041758.0390069573
276,28.547565,-81.375267,79.46,838460.517917138,-5527921.526069018,3041758.1365908934
277,28.547566,-81.37514,79.18,838472.7629684566,-5527919.615062222,3041758.234174829
278,28.547566,-81.375014,78.89,838484.9194965868,-5527917.771150945,3041758.234174829
279,28.547567,-81.374879,78.61,838497.936382002,-5527915.743013751,3041758.331758764
280,28.547565,-81.374765,78.33,838508.9510615285,-5527914.179640707,3041758.1365908934
281,28.547562,-81.374637,78.05,838521.3244238594,-5527912.463844727,3041757.843839081
282,28.54756,-81.374508,77.77,838533.7863009619,-5527910.680897621,3041757.648671202
283,28.547558,-81.374381,77.49,838546.055213864,-5527908.9271932,3041757.453503318
284,28.547555,-81.374261,77.21,838557.65672405,-5527907.328398923,3041757.1607514867
285,28.547553,-81.374152,76.93,838568.1889871754,-5527905.838085744,3041756.965583594
286,28.547551,-81.374029,76.64,838580.0719694811,-5527904.14284889,3041756.7704156977
287,28.547548,-81.373852,76.36,838597.1728359004,-5527901.709717862,3041756.4776638467
288,28.54755,-81.37372,76.08,838609.8922795529,-5527899.672737775,3041756.6728317486
289,28.547552,-81.37358,75.8,838623.383558378,-5527897.518634556,3041756.867999647
290,28.547554,-81.37344,75.52,838636.8748316817,-5527895.364498403,3041757.0631675413
291,28.547556,-81.373303,75.24,838650.0766596511,-5527893.254240939,3041757.258335432
292,28.547558,-81.373172,74.96,838662.6996029123,-5527891.231776523,3041757.453503318
293,28.547561,-81.373045,74.68,838674.9286585061,-5527889.215345808,3041757.746255142
294,28.547562,-81.372923,74.39,838686.6912369983,-5527887.377053313,3041757.843839081
295,28.547564,-81.372804,74.11,838698.1564085018,-5527885.530161919,3041758.0390069573
296,28.547567,-81.372637,73.83,838714.2446409577,-5527882.928121081,3041758.331758764
297,28.547567,-81.372516,73.55,838725.9186897755,-5527881.156871423,3041758.331758764
298,28.547568,-81.372399,73.27,838737.1988521455,-5527879.391664067,3041758.4293426974
299,28.547568,-81.372283,72.99,838748.3904951673,-5527877.693560559,3041758.4293426974
300,28.547568,-81.372168,72.71,838759.4856551134,-5527876.010073508,3041758.4293426974
301,28.547568,-81.372055,72.43,838770.387852465,-5527874.355842802,3041758.4293426974
302,28.547568,-81.371944,72.14,838781.0970873955,-5527872.73086958,3041758.4293426974
303,28.547569,-81.371832,71.86,838791.8948342866,-5527871.038748049,3041758.52692663
304,28.547569,-81.371722,71.58,838802.5075832679,-5527869.4283730285,3041758.52692663
305,28.547569,-81.371612,71.3,838813.1203291585,-5527867.817977632,3041758.52692663
306,28.547571,-81.371501,71.02,838823.8136219314,-5527866.087945948,3041758.722094494
307,28.547572,-81.371387,70.74,838834.804314298,-5527864.3664601175,3041758.8196784235
308,28.547574,-81.371273,70.46,838845.7870381789,-5527862.59246462,3041759.014846281
309,28.547576,-81.371161,70.18,838856.5767995769,-5527860.847728919,3041759.210014134
310,28.547578,-81.371052,69.89,838867.0771193302,-5527859.146895135,3041759.4051819844
311,28.54758,-81.370944,69.61,838877.4809563354,-5527857.460682573,3041759.600349831
312,28.547581,-81.370839,69.33,838887.6033174642,-5527855.87086225,3041759.697933753
313,28.547583,-81.370736,69.05,838897.5247516191,-5527854.257818688,3041759.893101593
314,28.547585,-81.370581,68.77,838912.463102256,-5527851.883386788,3041760.08826943
315,28.547585,-81.370427,68.49,838927.320898478,-5527849.62853199,3041760.08826943
316,28.547585,-81.370321,68.21,838937.5476897594,-5527848.076465872,3041760.08826943
317,28.547585,-81.370169,67.93,838952.2125175288,-5527845.850828611,3041760.08826943
318,28.547585,-81.370019,67.64,838966.6843812501,-5527843.654437912,3041760.08826943
319,28.547585,-81.369872,67.36,838980.8668021176,-5527841.501938268,3041760.08826943
320,28.547585,-81.369728,67.08,838994.7597804706,-5527839.393331906,3041760.08826943
321,28.547585,-81.369586,66.8,839008.4597956003,-5527837.313977553,3041760.08826943
322,28.547631,-81.379128,4.37,838087.4798554044,-5527974.550722439,3041764.5771286567
323,28.547755,-81.37913,4.09,838086.3001269195,-5527968.071328077,3041776.677522023
324,28.547858,-81.379132,3.81,838085.2875094243,-5527962.694185182,3041786.7286443906
325,28.547976,-81.379134,3.53,838084.1555217698,-5527956.529680804,3041798.243510361
326,28.548079,-81.379135,3.25,838083.2393801901,-5527951.137872137,3041808.294611636
327,28.548172,-81.379137,2.97,838082.3063342943,-5527946.285572087,3041817.369869392
328,28.548334,-81.37914,2.69,838080.7277082944,-5527937.826065823,3041833.1783637623
